bk,age,unit_size,single_unit
0,95,390.1926,0
0,76,866.78497,0
0,80,854.70758,0
0,87,369.93976,0
0,95,883.50751,0
0,61,304.72183,0
0,85,895.5849,0
0,93,628.86041,0
0,88,928.65839,0
0,95,624.77271,1
0,102,714.23828,1
0,86,897.2572,0
0,95,312.71149,0
0,109,498.3317,0
0,76,154.03317,1
0,94,367.15265,0
0,76,889.08173,1
0,95,323.85986,0
0,102,503.99878,0
0,89,778.06262,0
0,93,266.63162,1
0,87,635.45654,0
0,105,267.56064,0
0,95,426.42477,0
0,98,951.23383,0
0,100,304.16443,0
0,95,411.09576,1
0,93,378.30103,0
0,97,774.3465,0
0,110,558.0683,0
0,90,575.9986,1
0,105,506.04263,0
0,76,727.43048,0
0,104,557.41803,0
0,81,832.41089,0
0,98,375.88553,0
0,100,580.73663,0
0,103,688.59705,1
0,94,243.87038,0
0,85,447.32794,0
0,92,466.46597,1
0,109,443.61182,1
0,79,348.38626,1
0,84,379.04425,0
0,97,719.99823,0
0,103,600.89661,0
0,93,256.04068,1
0,95,374.5849,0
0,105,877.00433,0
0,97,402.82742,0
0,81,884.25073,1
0,107,342.25464,1
0,139,980.12665,0
0,104,209.03175,0
0,82,912.30743,0
0,95,261.42905,0
0,105,609.9082,0
0,125,514.77551,0
0,76,282.42511,1
0,95,297.28961,0
0,93,986.16534,0
0,58,794.69226,1
0,46,836.12701,0
0,106,256.50519,0
0,125,459.96274,1
0,105,350.80173,0
0,55,160.25768,0
0,95,353.0314,0
0,95,585.28888,0
0,98,267.56064,1
0,93,493.03622,0
0,98,534.09937,0
0,95,300.91281,0
0,102,367.15265,0
0,102,126.25518,0
0,93,581.57275,0
0,112,224.82526,0
0,105,868.17853,0
0,105,648.83453,0
0,104,265.60968,0
0,105,343.74109,0
0,85,405.05707,0
0,94,464.51501,0
0,102,620.1275,0
0,84,336.30887,1
0,107,140.46933,1
0,104,589.93402,0
0,105,251.11681,1
0,22,264.21613,1
0,77,266.72452,0
0,112,445.93439,0
0,54,299.14767,0
0,82,744.71045,0
0,96,609.72241,0
0,112,546.73413,0
0,104,750.65625,0
0,84,851.45599,0
0,95,557.9754,0
0,93,415.2764,0
0,93,497.58847,0
0,94,894.93457,0
0,84,569.867,1
0,107,260.12839,0
0,98,250.8381,0
0,95,217.67172,0
0,111,877.93335,0
0,85,432.92798,0
0,97,376.44296,0
0,112,444.81955,0
0,93,818.84705,0
0,80,309.5528,0
0,110,274.99289,0
0,59,771.83813,1
0,111,218.50786,0
0,93,493.03622,0
0,112,325.81082,0
0,104,278.70901,0
0,104,467.39499,1
0,85,831.48187,0
0,48,221.10915,1
0,92,936.92676,0
0,107,576.37024,0
0,104,502.60522,0
0,97,260.03549,0
0,1,334.45081,0
0,93,257.52713,0
0,6,691.56995,1
0,112,418.06351,0
0,99,284.74768,0
0,78,244.98521,0
0,84,622.91461,0
0,1,358.9772,0
0,152,257.15552,1
0,94,380.43777,0
0,92,451.78729,0
0,104,703.74023,0
0,89,218.50786,0
0,63,348.57205,1
0,94,259.19937,0
0,114,227.42654,0
0,106,312.15408,1
0,84,384.99002,0
0,99,542.18188,0
0,94,332.12823,0
0,2,349.68689,0
0,112,850.06244,0
0,93,547.01288,0
0,84,515.05426,0
0,95,556.6748,0
0,105,436.36539,0
0,84,956.90088,0
0,84,665.18549,0
0,85,472.31885,0
0,94,875.14624,0
0,112,384.061,0
0,87,334.45081,0
0,106,823.12061,0
0,96,348.38626,0
0,96,874.21722,0
0,98,816.15283,0
0,92,557.23218,0
0,75,903.76038,0
0,73,386.47647,0
0,104,329.06244,0
0,83,283.72577,0
0,103,975.48151,0
0,29,594.57922,0
0,93,961.36023,0
0,104,437.01572,0
0,106,903.48169,0
0,74,540.32385,0
0,103,485.41818,0
0,106,295.43155,0
0,102,320.70114,0
0,93,765.4278,0
0,105,798.96582,1
0,93,435.90088,0
0,111,349.31528,0
0,93,229.93492,0
0,204,380.90231,1
0,93,287.9993,0
0,103,631.64752,0
0,93,511.61682,0
0,102,194.8176,0
0,103,973.62341,0
0,2,340.02499,0
0,108,765.70654,0
0,110,303.23538,0
0,111,329.15533,1
0,95,237.92458,0
0,102,240.80458,0
0,107,234.11555,0
0,102,362.87912,1
0,89,584.17407,1
0,90,377.00037,0
0,104,613.15979,0
0,97,880.25592,0
0,87,299.61218,0
0,106,159.79317,0
0,104,441.28925,1
0,108,776.48328,0
0,104,345.69208,1
0,87,845.88184,0
0,66,606.19208,0
0,94,400.04031,0
0,97,355.81848,0
0,83,812.90125,0
0,98,484.95367,1
0,102,597.83081,0
0,105,240.80458,0
0,101,874.21722,0
0,24,259.47809,0
0,97,191.75179,0
0,104,204.3866,0
0,102,229.93492,0
0,101,473.43369,0
0,87,650.32098,0
0,78,494.33685,1
0,96,789.67548,0
0,69,600.89661,0
0,95,278.70901,0
0,112,309.5528,0
0,101,791.06903,0
0,106,569.9599,0
0,99,896.04944,0
0,108,222.78139,0
0,103,512.63873,1
0,91,643.35327,0
0,85,588.63342,0
0,87,337.70239,0
0,101,624.30817,0
0,102,448.44278,0
0,92,362.87912,0
0,97,372.35522,1
0,94,414.90479,0
0,97,280.93866,0
0,100,410.63126,1
0,104,412.39642,1
